 pres temp vfr mfr    comp
 +030.50 +025.06 +0.2619 +0.5436    Air
 +030.50 +025.06 +0.2664 +0.5528    Air
 +030.49 +025.05 +0.2685 +0.5571    Air
 +030.48 +025.05 +0.2730 +0.5664    Air
 +030.48 +025.05 +0.2787 +0.5779    Air
 +030.47 +025.05 +0.2826 +0.5859    Air
 +030.46 +025.05 +0.2846 +0.5900    Air
 +030.46 +025.05 +0.2877 +0.5961    Air
 +030.45 +025.06 +0.2890 +0.5988    Air
 +030.45 +025.05 +0.2902 +0.6011    Air
 +030.45 +025.05 +0.2911 +0.6032    Air
 +030.45 +025.05 +0.2915 +0.6038    Air
 +030.45 +025.05 +0.2917 +0.6044    Air
 +030.45 +025.05 +0.2919 +0.6047    Air
 +030.45 +025.05 +0.2920 +0.6049    Air
 +030.45 +025.05 +0.2920 +0.6050    Air
 +030.45 +025.05 +0.2921 +0.6052    Air
 +030.45 +025.05 +0.2915 +0.6040    Air
 +030.45 +025.05 +0.2919 +0.6047    Air
 +030.45 +025.05 +0.2923 +0.6057    Air
 +030.45 +025.05 +0.2935 +0.6080    Air
 +030.45 +025.05 +0.2944 +0.6100    Air
 +030.45 +025.05 +0.2954 +0.6120    Air
 +030.44 +025.05 +0.3007 +0.6229    Air
 +030.44 +025.05 +0.3041 +0.6298    Air
 +030.43 +025.05 +0.3090 +0.6398    Air
 +030.42 +025.05 +0.3142 +0.6504    Air
 +030.42 +025.05 +0.3159 +0.6539    Air
 +030.41 +025.05 +0.3201 +0.6623    Air
 +030.41 +025.05 +0.3211 +0.6645    Air
 +030.40 +025.05 +0.3245 +0.6713    Air
 +030.40 +025.05 +0.3238 +0.6698    Air
 +030.40 +025.05 +0.3208 +0.6636    Air
 +030.40 +025.05 +0.3249 +0.6721    Air
 +030.39 +025.05 +0.3335 +0.6895    Air
 +030.38 +025.05 +0.3364 +0.6955    Air
 +030.37 +025.05 +0.3385 +0.6996    Air
 +030.37 +025.05 +0.3394 +0.7014    Air
 +030.37 +025.05 +0.3397 +0.7020    Air
 +030.37 +025.05 +0.3375 +0.6977    Air
 +030.38 +025.05 +0.3360 +0.6945    Air
