128035
128035
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
9754 , 239 , 0.00 , 0.00
9782 , 239 , 0.00 , 0.00
9808 , 239 , 0.00 , 0.00
9836 , 239 , 0.00 , 0.00
9863 , 239 , 0.00 , 0.00
9889 , 239 , 0.00 , 0.00
9917 , 239 , 0.00 , 0.00
9944 , 239 , 0.03 , 0.00
9971 , 239 , 0.00 , 0.00
9998 , 239 , 0.00 , 0.00
10024 , 239 , 0.00 , 0.00
10053 , 239 , 0.00 , 0.00
10081 , 239 , 0.00 , 0.00
10109 , 238 , 0.00 , 0.00
10137 , 238 , 0.00 , 0.00
10166 , 238 , 0.00 , 0.00
10193 , 238 , 0.00 , 0.00
10221 , 238 , 0.00 , 0.00
10250 , 238 , 0.00 , 0.00
10277 , 238 , 0.00 , 0.00
10306 , 238 , 0.00 , 0.00
10334 , 238 , 0.00 , 0.00
10361 , 238 , 0.00 , 0.00
10390 , 238 , 0.00 , 0.00
10418 , 238 , 0.00 , 0.00
10446 , 238 , 0.00 , 0.00
10474 , 238 , 0.00 , 0.00
10503 , 238 , 0.03 , 0.00
10530 , 238 , 0.00 , 0.00
10558 , 238 , 0.00 , 0.00
10587 , 238 , 0.00 , 0.00
10614 , 238 , 0.00 , 0.00
10643 , 238 , 0.00 , 0.00
10671 , 238 , 0.00 , 0.00
10699 , 238 , 0.00 , 0.00
10727 , 238 , 0.00 , 0.00
10755 , 238 , 0.00 , 0.00
10783 , 238 , 0.00 , 0.00
10811 , 238 , 0.00 , 0.00
10840 , 238 , 0.00 , 0.00
10867 , 238 , 0.03 , 0.00
10896 , 238 , 0.00 , 0.00
10924 , 238 , 0.03 , 0.00
10951 , 238 , 0.00 , 0.00
10980 , 238 , 0.00 , 0.00
11008 , 238 , 0.00 , 0.00
11036 , 238 , 0.00 , 0.00
11064 , 238 , 0.00 , 0.00
11091 , 238 , 0.00 , 0.00
11120 , 238 , 0.00 , 0.00
11148 , 238 , 0.00 , 0.00
11176 , 238 , 0.00 , 0.00
11204 , 238 , 0.00 , 0.00
11233 , 238 , 0.00 , 0.00
11260 , 238 , 0.00 , 0.00
11288 , 238 , 0.00 , 0.00
11317 , 238 , 0.00 , 0.00
11344 , 238 , 0.00 , 0.00
11373 , 237 , 0.03 , 0.00
11401 , 238 , 0.00 , 0.00
11429 , 237 , 0.00 , 0.00
11457 , 237 , 0.00 , 0.00
11485 , 237 , 0.00 , 0.00
11513 , 237 , 0.00 , 0.00
11541 , 237 , 0.00 , 0.00
11570 , 237 , 0.00 , 0.00
11597 , 237 , 0.00 , 0.00
11625 , 237 , 0.00 , 0.00
11654 , 236 , 0.00 , 0.00
11681 , 237 , 0.00 , 0.00
11710 , 236 , 0.00 , 0.00
11738 , 236 , 0.00 , 0.00
11766 , 236 , 0.00 , 0.00
11794 , 236 , 0.00 , 0.00
11822 , 236 , 0.00 , 0.00
11850 , 236 , 0.00 , 0.00
11878 , 236 , 0.00 , 0.00
11907 , 236 , 0.00 , 0.00
11934 , 236 , 0.00 , 0.00
11963 , 236 , 0.00 , 0.00
11991 , 236 , 0.00 , 0.00
12018 , 236 , 0.00 , 0.00
12047 , 236 , 0.00 , 0.00
12075 , 236 , 0.00 , 0.00
12103 , 236 , 0.00 , 0.00
12131 , 236 , 0.00 , 0.00
12160 , 236 , 0.00 , 0.00
12187 , 236 , 0.00 , 0.00
12215 , 236 , 0.00 , 0.00
12243 , 236 , 0.00 , 0.00
12271 , 236 , 0.00 , 0.00
12300 , 236 , 0.00 , 0.00
12327 , 236 , 0.00 , 0.00
12355 , 236 , 0.00 , 0.00
12384 , 236 , 0.00 , 0.00
12411 , 236 , 0.00 , 0.00
12440 , 236 , 0.00 , 0.00
12468 , 236 , 0.00 , 0.00
12496 , 236 , 0.00 , 0.00
12524 , 236 , 0.00 , 0.00
12552 , 236 , 0.00 , 0.00
12580 , 236 , 0.00 , 0.00
12608 , 236 , 0.00 , 0.00
12637 , 236 , 0.00 , 0.00
12664 , 236 , 0.00 , 0.00
12693 , 236 , 0.00 , 0.00
12721 , 236 , 0.00 , 0.00
12748 , 236 , 0.00 , 0.00
12777 , 236 , 0.00 , 0.00
12805 , 235 , 0.00 , 0.00
12833 , 236 , 0.00 , 0.00
12861 , 235 , 0.00 , 0.00
12889 , 235 , 0.00 , 0.00
12917 , 235 , 0.00 , 0.00
12945 , 235 , 0.00 , 0.00
12974 , 235 , 0.00 , 0.00
13001 , 235 , 0.00 , 0.00
13030 , 235 , 0.00 , 0.00
13058 , 235 , 0.00 , 0.00
13085 , 235 , 0.00 , 0.00
13114 , 235 , 0.00 , 0.00
13142 , 235 , 0.00 , 0.00
13170 , 235 , 0.00 , 0.00
13198 , 236 , 0.00 , 0.00
13227 , 236 , 0.00 , 0.00
13254 , 236 , 0.00 , 0.00
13282 , 236 , 0.00 , 0.00
13310 , 237 , 0.00 , 0.00
13338 , 237 , 0.00 , 0.00
13367 , 237 , 0.00 , 0.00
13394 , 237 , 0.00 , 0.00
13422 , 236 , 0.00 , 0.00
13451 , 236 , 0.00 , 0.00
13478 , 236 , 0.00 , 0.00
13507 , 236 , 0.00 , 0.00
13535 , 236 , 0.00 , 0.00
13563 , 236 , 0.00 , 0.00
13591 , 236 , 0.00 , 0.00
13619 , 236 , 0.00 , 0.00
13647 , 237 , 0.00 , 0.00
13675 , 238 , 0.00 , 0.00
13704 , 238 , 0.00 , 0.00
13731 , 239 , 0.00 , 0.00
13760 , 239 , 0.00 , 0.00
13788 , 239 , 0.00 , 0.00
13815 , 242 , 0.00 , 0.00
13844 , 252 , 0.00 , 0.00
13872 , 252 , 0.00 , 0.00
13900 , 253 , 0.00 , 0.00
13928 , 253 , 0.00 , 0.00
13957 , 252 , 0.00 , 0.00
13984 , 252 , 0.00 , 0.00
14012 , 252 , 0.00 , 0.00
14041 , 252 , 0.00 , 0.00
14068 , 252 , 0.00 , 0.00
14097 , 252 , 0.00 , 0.00
14125 , 251 , 0.00 , 0.00
14152 , 251 , 0.00 , 0.00
14181 , 251 , 0.00 , 0.00
14209 , 250 , 0.00 , 0.00
14237 , 250 , 0.00 , 0.00
14265 , 250 , 0.00 , 0.00
14294 , 249 , 0.00 , 0.00
14321 , 249 , 0.00 , 0.00
14349 , 249 , 0.00 , 0.00
14377 , 249 , 0.00 , 0.00
14405 , 249 , 0.00 , 0.00
14434 , 248 , 0.00 , 0.00
14461 , 248 , 0.00 , 0.00
14490 , 247 , 0.00 , 0.00
14518 , 247 , 0.00 , 0.00
14545 , 247 , 0.00 , 0.00
14574 , 246 , 0.00 , 0.00
14602 , 246 , 0.00 , 0.00
14630 , 246 , 0.00 , 0.00
14658 , 245 , 0.00 , 0.00
14686 , 245 , 0.00 , 0.00
14714 , 245 , 0.00 , 0.00
14742 , 244 , 0.00 , 0.00
14771 , 244 , 0.03 , 0.00
14798 , 244 , 0.00 , 0.00
14827 , 243 , 0.00 , 0.00
14855 , 243 , 0.00 , 0.00
14882 , 243 , 0.00 , 0.00
14911 , 243 , 0.00 , 0.00
14939 , 242 , 0.00 , 0.00
14967 , 242 , 0.00 , 0.00
14995 , 242 , 0.00 , 0.00
15024 , 241 , 0.00 , 0.00
15051 , 241 , 0.00 , 0.00
15079 , 241 , 0.00 , 0.00
15108 , 240 , 0.00 , 0.00
15135 , 240 , 0.00 , 0.00
15164 , 240 , 0.00 , 0.00
15192 , 240 , 0.00 , 0.00
15219 , 239 , 0.00 , 0.00
15248 , 239 , 0.00 , 0.00
15276 , 237 , 0.00 , 0.00
15304 , 237 , 0.00 , 0.00
15332 , 237 , 0.00 , 0.00
15361 , 237 , 0.00 , 0.00
15388 , 237 , 0.00 , 0.00
15416 , 237 , 0.00 , 0.00
15444 , 237 , 0.00 , 0.00
15472 , 237 , 0.00 , 0.00
15501 , 237 , 0.00 , 0.00
15528 , 237 , 0.00 , 0.00
15557 , 237 , 0.00 , 0.00
15585 , 237 , 0.00 , 0.00
15612 , 237 , 0.00 , 0.00
15641 , 237 , 0.00 , 0.00
15669 , 237 , 0.00 , 0.00
15697 , 237 , 0.00 , 0.00
15725 , 236 , 0.00 , 0.00
15754 , 236 , 0.00 , 0.00
15781 , 237 , 0.00 , 0.00
15809 , 236 , 0.00 , 0.00
15838 , 236 , 0.00 , 0.00
