time_ms , sensor , currpos , mflow
50602 , b , -3200 , 1.466000
50652 , b , -3200 , 1.504667
50702 , b , -3200 , 1.502667
50752 , b , -3200 , 1.490667
50802 , b , -3200 , 1.434667
50852 , b , -3200 , 1.462000
51581 , b , -3600 , 1.806000
51631 , b , -3600 , 1.806000
51681 , b , -3600 , 1.790001
51731 , b , -3600 , 1.822667
51781 , b , -3600 , 1.798000
51831 , b , -3600 , 1.828667
51881 , b , -3600 , 1.802001
51931 , b , -3600 , 1.797334
51981 , b , -3600 , 1.790001
52031 , b , -3600 , 1.795334
52081 , b , -3600 , 1.808001
52131 , b , -3600 , 1.798000
52181 , b , -3600 , 1.810000
52231 , b , -3600 , 1.811334
52281 , b , -3600 , 1.820667
52331 , b , -3600 , 1.823334
52381 , b , -3600 , 1.806001
52431 , b , -3600 , 1.774667
52481 , b , -3600 , 1.793334
52531 , b , -3600 , 1.804667
52581 , b , -3600 , 1.800667
52631 , b , -3600 , 1.806667
52681 , b , -3600 , 1.809334
52731 , b , -3600 , 1.804000
52781 , b , -3600 , 1.802000
52831 , b , -3600 , 1.794667
52881 , b , -3600 , 1.792001
52931 , b , -3600 , 1.806667
52981 , b , -3600 , 1.787334
53031 , b , -3600 , 1.800000
53081 , b , -3600 , 1.796667
53131 , b , -3600 , 1.782667
53181 , b , -3600 , 1.797334
53231 , b , -3600 , 1.802667
53281 , b , -3600 , 1.820667
53331 , b , -3600 , 1.789334
53381 , b , -3600 , 1.789334
53431 , b , -3600 , 1.792001
53481 , b , -3600 , 1.808001
53531 , b , -3600 , 1.797334
53581 , b , -3600 , 1.815334
54310 , b , -4000 , 2.164666
54360 , b , -4000 , 2.175999
54410 , b , -4000 , 2.186666
54460 , b , -4000 , 2.175333
54510 , b , -4000 , 2.175999
54560 , b , -4000 , 2.175333
54610 , b , -4000 , 2.169333
54660 , b , -4000 , 2.175999
54710 , b , -4000 , 2.161999
54760 , b , -4000 , 2.181333
54810 , b , -4000 , 2.160000
54860 , b , -4000 , 2.149999
