1281696
1281696
Sensor initialized!
data_begin
time_ms , raw_val , point_flow , avg_flow
8873 , 247 , 29.70 , 17.78
8903 , 247 , 29.40 , 18.07
8932 , 246 , 29.83 , 18.37
8962 , 246 , 29.53 , 18.66
8990 , 246 , 29.90 , 18.96
9020 , 246 , 29.37 , 19.25
9049 , 246 , 29.67 , 19.55
9077 , 246 , 29.87 , 19.85
9107 , 246 , 29.57 , 20.14
9136 , 245 , 29.57 , 20.43
9165 , 245 , 29.53 , 20.73
9194 , 245 , 29.60 , 21.02
9224 , 245 , 29.70 , 21.32
9252 , 245 , 29.67 , 21.61
9282 , 245 , 29.87 , 21.91
9311 , 245 , 29.87 , 22.21
9339 , 245 , 29.87 , 22.51
9369 , 245 , 29.43 , 22.80
9398 , 245 , 29.87 , 23.10
9427 , 245 , 29.93 , 23.39
9456 , 245 , 29.67 , 23.69
9486 , 245 , 29.57 , 23.98
9515 , 245 , 29.93 , 24.28
9544 , 244 , 29.70 , 24.58
9573 , 244 , 29.73 , 24.87
9602 , 244 , 29.93 , 25.17
9631 , 244 , 30.10 , 25.47
9660 , 244 , 29.57 , 25.76
9690 , 244 , 30.10 , 26.06
9718 , 244 , 29.97 , 26.36
9748 , 244 , 29.83 , 26.66
9777 , 244 , 29.93 , 26.96
9805 , 244 , 29.67 , 27.25
9835 , 244 , 29.90 , 27.55
9864 , 244 , 29.83 , 27.80
9893 , 244 , 29.93 , 28.03
9922 , 244 , 29.77 , 28.27
9952 , 244 , 29.67 , 28.50
9980 , 244 , 29.80 , 28.72
10010 , 244 , 30.00 , 28.91
10040 , 244 , 29.90 , 29.06
10070 , 244 , 29.80 , 29.18
10100 , 244 , 30.27 , 29.28
10130 , 244 , 31.97 , 29.37
10161 , 244 , 33.83 , 29.46
10190 , 244 , 34.53 , 29.55
10221 , 244 , 34.97 , 29.65
10251 , 244 , 36.00 , 29.76
10281 , 244 , 35.90 , 29.86
10311 , 244 , 36.87 , 29.96
10342 , 244 , 37.67 , 30.07
10372 , 244 , 37.60 , 30.18
10401 , 244 , 38.80 , 30.29
10432 , 244 , 39.87 , 30.41
10462 , 244 , 41.47 , 30.55
10492 , 244 , 40.13 , 30.66
10522 , 244 , 40.70 , 30.78
10553 , 244 , 39.27 , 30.88
10583 , 244 , 39.10 , 30.96
10613 , 244 , 38.80 , 31.05
