pres	temp	vfr	mfr	comp
31.08	25.43	0.0244	0.0516	Air
31.08	25.43	0.0244	0.0516	Air
31.08	25.43	0.0244	0.0515	Air
31.08	25.43	0.0243	0.0513	Air
31.08	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0513	Air
31.09	25.43	0.0243	0.0514	Air
31.09	25.43	0.0243	0.0512	Air
31.08	25.43	0.0242	0.0511	Air
31.08	25.43	0.0242	0.0511	Air
31.08	25.43	0.0242	0.0512	Air
31.08	25.43	0.0242	0.0511	Air
31.08	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.08	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0242	0.0511	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.051	Air
31.09	25.43	0.0241	0.0509	Air
31.09	25.43	0.024	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0509	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.024	0.0508	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.024	0.0508	Air
31.09	25.43	0.024	0.0508	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.0241	0.0508	Air
31.09	25.43	0.024	0.0507	Air
31.09	25.43	0.0239	0.0505	Air
31.09	25.43	0.0239	0.0505	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0239	0.0506	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0238	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0502	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0237	0.0501	Air
31.09	25.43	0.0238	0.0503	Air
31.09	25.43	0.0236	0.0498	Air
31.1	25.43	0.0232	0.049	Air
31.1	25.43	0.0227	0.0479	Air
31.09	25.43	0.0223	0.047	Air
31.1	25.43	0.022	0.0464	Air
31.1	25.43	0.0217	0.0459	Air
31.1	25.43	0.0217	0.0458	Air
31.1	25.43	0.0216	0.0457	Air
31.1	25.43	0.0217	0.0458	Air
31.1	25.43	0.0216	0.0457	Air
31.1	25.43	0.0216	0.0456	Air
31.11	25.43	0.0215	0.0454	Air
31.1	25.43	0.0215	0.0454	Air
31.11	25.43	0.0215	0.0454	Air
31.11	25.43	0.0215	0.0454	Air
31.11	25.43	0.0213	0.045	Air
31.11	25.43	0.0211	0.0447	Air
31.11	25.43	0.0212	0.0447	Air
31.11	25.43	0.0211	0.0446	Air
31.11	25.43	0.0211	0.0446	Air
31.11	25.43	0.0209	0.0441	Air
31.11	25.43	0.0208	0.0439	Air
31.11	25.43	0.0207	0.0438	Air
31.11	25.43	0.0207	0.0439	Air
31.12	25.43	0.0207	0.0438	Air
31.12	25.43	0.0206	0.0436	Air
31.12	25.43	0.0205	0.0435	Air
31.12	25.43	0.0205	0.0434	Air
31.12	25.43	0.0205	0.0434	Air
31.12	25.43	0.0205	0.0434	Air
31.12	25.43	0.0202	0.0427	Air
31.12	25.43	0.0201	0.0425	Air
31.12	25.43	0.0201	0.0425	Air
31.12	25.43	0.0201	0.0425	Air
31.12	25.43	0.02	0.0424	Air
31.12	25.43	0.0196	0.0414	Air
31.12	25.43	0.0195	0.0411	Air
31.12	25.43	0.0194	0.0411	Air
31.13	25.43	0.0194	0.0411	Air
31.12	25.43	0.0194	0.0411	Air
31.13	25.43	0.0194	0.041	Air
31.13	25.43	0.0192	0.0406	Air
31.13	25.43	0.0182	0.0386	Air
31.13	25.43	0.0183	0.0387	Air
31.13	25.43	0.0188	0.0397	Air
31.13	25.43	0.0191	0.0404	Air
31.13	25.43	0.0193	0.0408	Air
31.13	25.43	0.0194	0.0411	Air
31.13	25.43	0.0195	0.0411	Air
31.13	25.43	0.0195	0.0411	Air
31.13	25.43	0.0195	0.0411	Air
31.14	25.43	0.0195	0.0411	Air
31.13	25.43	0.0196	0.0414	Air
31.13	25.43	0.0198	0.0418	Air
31.14	25.43	0.0198	0.0419	Air
31.13	25.43	0.0198	0.0419	Air
31.14	25.43	0.0198	0.0419	Air
31.14	25.43	0.0198	0.0419	Air
31.14	25.43	0.0199	0.042	Air
31.13	25.43	0.0201	0.0425	Air
31.13	25.43	0.0202	0.0428	Air
31.13	25.43	0.0202	0.0428	Air
31.13	25.43	0.0203	0.0429	Air
31.13	25.43	0.0202	0.0428	Air
31.13	25.43	0.0203	0.0429	Air
31.13	25.43	0.0205	0.0434	Air
31.13	25.43	0.0207	0.0437	Air
31.13	25.43	0.0207	0.0438	Air
31.13	25.43	0.0207	0.0438	Air
31.13	25.43	0.0207	0.0438	Air
31.13	25.43	0.0207	0.0438	Air
31.13	25.43	0.0208	0.044	Air
31.13	25.43	0.0208	0.0441	Air
31.13	25.43	0.0209	0.0441	Air
31.13	25.43	0.0209	0.0441	Air
31.13	25.43	0.0209	0.0441	Air
31.13	25.43	0.021	0.0444	Air
31.13	25.43	0.0211	0.0447	Air
31.13	25.43	0.0212	0.0448	Air
31.12	25.43	0.0212	0.0448	Air
31.13	25.43	0.0212	0.0448	Air
31.13	25.43	0.0212	0.0448	Air
31.12	25.43	0.0213	0.045	Air
31.12	25.43	0.0213	0.0451	Air
31.12	25.43	0.0213	0.0451	Air
31.12	25.43	0.0213	0.0451	Air
31.13	25.43	0.0213	0.0451	Air
31.12	25.43	0.0214	0.0452	Air
31.12	25.43	0.0214	0.0454	Air
31.12	25.43	0.0214	0.0453	Air
31.12	25.43	0.0215	0.0454	Air
31.12	25.43	0.0214	0.0454	Air
31.12	25.43	0.0215	0.0455	Air
31.12	25.43	0.0216	0.0456	Air
31.12	25.43	0.0216	0.0456	Air
31.12	25.43	0.0216	0.0456	Air
31.12	25.43	0.0216	0.0457	Air
31.12	25.43	0.0216	0.0456	Air
31.12	25.43	0.0216	0.0457	Air
31.12	25.43	0.0216	0.0456	Air
31.12	25.43	0.0216	0.0456	Air
31.12	25.43	0.0216	0.0457	Air
31.11	25.43	0.0217	0.0458	Air
