 pres temp vfr mfr    comp
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3463    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1667 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1668 +0.3462    Air
 +030.52 +025.06 +0.1666 +0.3459    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3450    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1662 +0.3452    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3448    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3447    Air
 +030.52 +025.06 +0.1660 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3450    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3450    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3449    Air
 +030.52 +025.06 +0.1661 +0.3448    Air
 +030.52 +025.06 +0.1664 +0.3454    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3455    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1664 +0.3456    Air
 +030.52 +025.06 +0.1665 +0.3457    Air
