"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
3534.9,831,784,47,42,254,0.0
3547.74,830,782,48,42,253,0.0
3560.18,829,781,48,42,253,0.0
3573.84,833,782,51,41,254,0.0
3586.8,828,781,47,41,252,0.0
3599.45,828,779,49,42,252,0.0
3613.33,833,784,49,42,254,0.0
3625.88,828,781,47,41,253,0.0
3638.59,833,783,50,42,254,0.0
3651.21,831,783,48,42,254,0.0
3664.06,825,778,47,43,252,0.0
3678.48,832,782,50,42,253,0.0
3691.19,830,780,50,42,252,0.0
3703.92,832,782,50,42,251,0.0
3716.77,834,782,52,43,254,0.0
3729.29,828,781,47,42,252,0.0
3742.31,827,779,48,42,252,0.0
3755.87,831,783,48,43,254,0.0
3768.37,828,780,48,43,253,0.0
3781.82,831,783,48,42,254,0.0
3794.31,828,779,49,43,254,-0.0333
3807.05,828,781,47,42,253,0.0
3820.42,831,783,48,42,254,0.0
3832.95,829,780,49,42,254,0.0
3845.59,831,780,51,42,254,0.0
3859.3,833,783,50,42,252,0.0
3871.96,830,780,50,42,253,0.0
3884.76,832,784,48,42,255,-0.0333
3897.86,833,780,53,42,254,0.0
3910.44,830,780,50,42,253,0.0
3924.24,833,783,50,42,254,0.0
3936.89,830,780,50,42,253,0.0
3949.42,828,781,47,42,253,0.0
3962.23,830,785,45,41,253,-0.0333
3974.84,827,783,44,41,253,0.0
3987.65,828,778,50,43,252,0.0
4000.92,833,781,52,42,254,0.0
4013.74,828,780,48,42,253,0.0
4026.9,832,784,48,42,253,0.0
4039.54,830,780,50,42,253,0.0
4052.19,829,780,49,42,253,0.0
4065.93,831,784,47,41,254,0.0
4078.43,828,781,47,41,252,0.0
4091.18,830,780,50,41,252,0.0
4104.65,834,782,52,42,254,0.0
4117.84,827,775,52,42,252,0.0
4131.18,831,784,47,42,254,0.0
4143.63,830,780,50,43,253,0.0
4156.25,828,781,47,43,253,0.0
4170.22,832,782,50,41,254,0.0
4182.71,829,781,48,42,253,0.0
4195.27,828,780,48,42,253,0.0
4209.1,832,785,47,41,254,0.0
4221.72,828,781,47,41,252,0.0
4234.41,831,781,50,43,253,-0.0333
4247.12,831,784,47,42,253,0.0
4259.66,828,780,48,42,253,0.0
4273.26,833,783,50,43,254,0.0
4285.87,829,780,49,42,253,0.0
4298.54,832,782,50,42,251,0.0
4311.28,832,783,49,43,253,0.0
4323.79,828,781,47,41,253,0.0
4336.5,828,781,47,41,252,0.0
4350.18,831,782,49,42,254,0.0
4362.74,828,780,48,42,252,0.0
4375.56,832,784,48,42,254,0.0
4388.67,828,777,51,42,252,0.0
4401.3,829,781,48,42,252,0.0
4414.8,830,783,47,43,253,-0.0333
4427.31,830,780,50,42,253,0.0
4439.88,826,779,47,41,252,0.0
4452.91,833,783,50,41,254,0.0
